fmid,market_name,street,city,county,state,zip,website,facebook,twitter,youtube,othermedia,season1date,season1time,season2date,season2time,season3date,season3time,season4date,season4time,x,y,location,has_organic,has_bakedgoods,has_cheese,has_crafts,has_flowers,has_eggs,has_seafood,has_herbs,has_vegetables,has_honey,has_jams,has_maple,has_meat,has_nursery,has_nuts,has_plants,has_poultry,has_prepared,has_soap,has_trees,has_wine,has_coffee,has_beans,has_fruits,has_grains,has_juices,has_mushrooms,has_petfood,has_tofu,has_wildharvested,accepts_credit,accepts_wic,accepts_wiccash,accepts_sfmnp,accepts_snap,updatetime,updatetime_unparsed
1018261,Caledonia Farmers Market Association - Danville,,Danville,Caledonia,Vermont,05828,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,06/14/2017 to 08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140337,44.411036,,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,2017-06-20T22:43:57+00:00,6/20/2017 10:43:57 PM
1018318,Stearns Homestead Farmers' Market,6975 Ridge Road,Parma,Cuyahoga,Ohio,,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,,,,06/24/2017 to 09/30/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-81.7339387,41.3748009,,,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,2017-06-21T17:15:01+00:00,6/21/2017 5:15:01 PM
1009364,106 S. Main Street Farmers Market,106 S. Main Street,Six Mile,,South Carolina,29682,http://thetownofsixmile.wordpress.com/,,,,,,,,,,,,,-82.8187,34.8042,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,2013
1010691,10th Steet Community Farmers Market,10th Street and Poplar,Lamar,Barton,Missouri,64759,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,04/02/2014 to 11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-94.2746191,37.4956280,,,True,False,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,2014-10-28T09:49:46+00:00,10/28/2014 9:49:46 AM
1002454,112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,,,,,,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.9493,40.7939,Private business parking lot,,True,False,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2012-03-01T10:38:22+00:00,3/1/2012 10:38:22 AM
1011100,12 South Farmers Market,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt,05/05/2015 to 10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,,-86.790709,36.118370,,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,True,2015-05-01T10:40:56+00:00,5/1/2015 10:40:56 AM
1009845,125th Street Fresh Connect Farmers' Market,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,06/10/2014 to 11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,,-73.9482477,40.8089533,Federal/State government building grounds,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,False,True,False,False,False,False,True,True,False,True,True,2014-04-07T16:32:01+00:00,4/7/2014 4:32:01 PM
1005586,12th & Brandywine Urban Farm Market,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,05/16/2014 to 10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,,-75.534460,39.742117,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2014-04-03T15:43:31+00:00,4/3/2014 3:43:31 PM
1008071,14&U Farmers' Market,1400 U Street NW,Washington,District of Columbia,District of Columbia,20009,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,05/03/2014 to 11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0320505,38.9169984,Other,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,2014-04-05T13:49:04+00:00,4/5/2014 1:49:04 PM
1012710,14th & Kennedy Street Farmers Market,"5500 Colorado Avenue, NW",Washington,District of Columbia,District of Columbia,20011,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm,04/09/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0334486,38.9559783,,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,2016-07-20T11:16:24+00:00,7/20/2016 11:16:24 AM
1019157,16th Ave Farmers Market,NE 16th Ave & Broadway,Portland,Multnomah,Oregon,97212,http://16thavefarmersmarket.com,,,,,06/03/2018 to 10/28/2018,Sun: 9:00 AM-1:30 PM;,,,,,,,-122.649446,45.534498,,,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,True,True,False,2018-07-05T17:00:17+00:00,7/5/2018 5:00:17 PM
1018792,170 Farm Stand,NE Corner of 170th St. & Townsend Avenue,Bronx,Bronx,New York,10452,,https://www.facebook.com/CommunityFoodAction/,https://twitter.com/GoodEatsBX,https://www.youtube.com/channel/UCZnt7sSNKIBrn2rMy1RyE_w,https://www.instagram.com/goodeatsbx/,07/05/2017 to 11/22/2017,Wed: 2:30 PM-6:30 PM;,,,,,,,-73.9167841,40.8398843,,,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,True,True,True,2017-08-07T16:11:24+00:00,8/7/2017 4:11:24 PM
1016782,175th Street Greenmarket,175th Street between Wadsworth & Broadway,New York,New York,New York,10033,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,,06/29/2017 to 11/22/2017,Tue: 8:00 AM-6:00 PM;,,,,,,,-73.938049,40.846354,,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,2016-12-16T12:06:16+00:00,12/16/2016 12:06:16 PM
1003877,17th Ave Market,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,http://www.iatp.org/minimarkets,,,,,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,2011-04-28T14:33:54+00:00,4/28/2011 2:33:54 PM
1016784,17th Street Farmers Market,100 North 17th St.,Richmond,Richmond City,Virginia,23219,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,,06/08/2017 to,Thu: 3:00 PM-6:30 PM;,,,,,,,-77.428364,37.533850,,,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,2016-12-29T12:13:04+00:00,12/29/2016 12:13:04 PM
1010968,18th and Christian Farmers' Market,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,06/01/2015 to 11/15/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.173431,39.940943,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,2015-03-24T15:33:48+00:00,3/24/2015 3:33:48 PM
1009994,18th Street Farmer's Market,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,06/07/2014 to 09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,,-103.662538,41.864268,,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,2016-06-29T16:32:46+00:00,6/29/2016 4:32:46 PM
1018365,18th Street Farmers Market,825 18th Street,Charleston,Coles,Illinois,61920,,18th Street Farmers Market,,,,05/20/2017 to 09/30/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-88.1622392,39.4907144,,,True,False,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,2017-06-23T08:02:15+00:00,6/23/2017 8:02:15 AM
1012790,19/27 Community Farmers Market,NE 7th Ave,Chiefland,Levy,Florida,32626,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,09/03/2016 to 06/24/2017,Sat: 8:30 AM-1:00 PM;,09/02/2017 to 06/30/2018,Sat: 8:30 AM-1:00 PM;,,,,,-82.8578732,29.4848541,,,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,2016-08-19T16:07:34+00:00,8/19/2016 4:07:34 PM
1012158,21 Acres Farm Market,13701 NE 171st Street,Woodinville,King,Washington,98072,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,Instagram @21acres,01/01/2016 to 12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,-122.1569875,47.7502397,,True,True,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,2016-06-30T19:50:56+00:00,6/30/2016 7:50:56 PM
1010873,21st Street Farmers Market,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,,,,,,06/05/2015 to 10/30/2015,Fri: 7:30 AM-12:00 PM;,,,,,,,-95.714514,39.028184,,True,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,2015-03-02T10:46:33+00:00,3/2/2015 10:46:33 AM
1005309,22nd and Tasker Farmers' Market,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,06/01/2015 to 11/01/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.181286,39.932257,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,2015-03-24T14:29:42+00:00,3/24/2015 2:29:42 PM
1000709,22nd Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,06/25/2016 to 11/05/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.994358,40.404837,,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,2016-07-06T14:37:36+00:00,7/6/2016 2:37:36 PM
